location,alltrails_url,other_alltrails_urls,crosswalk_confidence,included_in_app,crosswalk_human_notes,crosswalk_computer_notes,url_slug,url_key,geometry_file,geometry_match_score,geometry_match_method,alltrails_trail_name,geometry_point_count,geometry_latitude,geometry_longitude,geometry_min_latitude,geometry_max_latitude,geometry_min_longitude,geometry_max_longitude,geometry_mean_elevation,manual_latitude,manual_longitude,manual_location_notes,model_latitude,model_longitude,coordinate_source
Becker Hollow,https://www.alltrails.com/trail/us/new-york/hunter-mountain-via-becker-hollow-trail,,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,hunter-mountain-via-becker-hollow-trail,huntermountainviabeckerhollowtrail,,0.7142857142857143,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Beech Hill Rd,https://www.alltrails.com/trail/us/new-york/cabot-mountain-via-beech-hill-road,https://www.alltrails.com/trail/us/new-york/beech-hill-and-middle-mountain,High,Y,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,cabot-mountain-via-beech-hill-road,cabotmountainviabeechhillroad,Cabot_Mountain_via_Beech_Hill_Road.js,1.0,exact_url_slug,Cabot Mountain via Beech Hill Road,699.0,42.05554,-74.76962,42.05057,42.05754,-74.77897,-74.76011,842.5393419170243,,,,42.05554,-74.76962,AllTrails downloaded geometry
Big Indian,https://www.alltrails.com/trail/us/new-york/big-indian-summit-and-fir-mountain,,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,big-indian-summit-and-fir-mountain,bigindiansummitandfirmountain,Big_Indian_Summit_and_Fir_Mountain.js,1.0,exact_url_slug,Big Indian Summit and Fir Mountain,1726.0,42.02251,-74.484115,41.99131,42.03609,-74.50003,-74.46897,909.7346465816918,,,,42.02251,-74.484115,AllTrails downloaded geometry
Big Pond East,https://www.alltrails.com/trail/us/new-york/big-pond-to-little-pond-via-touch-me-not-trail,,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,big-pond-to-little-pond-via-touch-me-not-trail,bigpondtolittlepondviatouchmenottrail,,0.5142857142857142,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Big Pond West,?,"https://www.alltrails.com/trail/us/new-york/alder-lake-via-touch-me-not-trail
",High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Biscuit Brook,?,??,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Bouchoux Trail,,,Low,,,No indexed direct AllTrails trail page could be confirmed; URL intentionally left blank to avoid a possible 404.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Boulder Rock,https://www.alltrails.com/trail/us/new-york/inspiration-point-to-katerskill-falls-loop,https://www.alltrails.com/trail/us/new-york/artists-rock-and-sunset-rock-via-escarpment-trail,Medium,,,Verified routes in the North–South Lake/Boulder Rock area; compare the map with the DEC counter.,inspiration-point-to-katerskill-falls-loop,inspirationpointtokaterskillfallsloop,,0.37735849056603776,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Campbell Brook,https://www.alltrails.com/trail/us/new-york/campbell-mountain-via-mary-smith-trail,,Medium,,,"Verified Campbell Mountain-area route; DEC label names the brook, so confirm the route crosses the counter.",campbell-mountain-via-mary-smith-trail,campbellmountainviamarysmithtrail,,0.6111111111111112,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Campbell Mt,https://www.alltrails.com/trail/us/new-york/campbell-mountain-via-mary-smith-trail,,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,campbell-mountain-via-mary-smith-trail,campbellmountainviamarysmithtrail,,0.6111111111111112,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Cathedral Glen,https://www.alltrails.com/trail/us/new-york/north-lake-south-lake-trail-2,,Medium,,,Verified North–South Lake route near Cathedral Glen; confirm the precise counter location.,north-lake-south-lake-trail-2,northlakesouthlaketrail2,,0.65,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Catskill Mt. House,https://www.alltrails.com/trail/us/new-york/inspiration-point-to-katerskill-falls-loop,https://www.alltrails.com/trail/us/new-york/artists-rock-and-sunset-rock-via-escarpment-trail,Medium,,,Verified routes serving the Catskill Mountain House/escapement area.,inspiration-point-to-katerskill-falls-loop,inspirationpointtokaterskillfallsloop,,0.37735849056603776,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Colgate Lake (Dutcher Notch),https://www.alltrails.com/trail/us/new-york/colgate-trail--2,https://www.alltrails.com/trail/us/new-york/escarpment-trail-to-burnt-knob,Medium,,,Verified Colgate/Escarpment-area pages; confirm which route crosses the Dutcher Notch counter.,colgate-trail--2,colgatetrail2,,0.6206896551724138,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Colonel's Chair,https://www.alltrails.com/trail/us/new-york/hunter-mountain-via-spruceton-horse-trail,,Medium,,,Verified Hunter Mountain route associated with the Colonel's Chair area; confirm counter geometry.,hunter-mountain-via-spruceton-horse-trail,huntermountainviasprucetonhorsetrail,Hunter_Mountain_via_Spruceton_Horse_Trail.js,1.0,exact_url_slug,Hunter Mountain via Spruceton Horse Trail,1929.0,42.17773,-74.24182,42.16537,42.19287,-74.27234,-74.22184,951.1503369621565,,,,42.17773,-74.24182,AllTrails downloaded geometry
DRB Margaretville Pakatakan,https://www.alltrails.com/trail/us/new-york/balsam-lake-mountain-via-dry-brook-ridge-trail--2,,Medium,,,Verified Dry Brook Ridge-area page; DEC abbreviation requires coordinate confirmation.,balsam-lake-mountain-via-dry-brook-ridge-trail--2,balsamlakemountainviadrybrookridgetrail2,Balsam_Lake_Mountain_via_Dry_Brook_Ridge_Trail.js,0.9873417721518988,fuzzy_url_slug,Balsam Lake Mountain via Dry Brook Ridge Trail,902.0,42.039145000000005,-74.59355,42.02394,42.04693,-74.59968,-74.58287,964.7250554323725,,,,42.039145000000005,-74.59355,AllTrails downloaded geometry
Denning,https://www.alltrails.com/trail/us/new-york/slide-cornell-and-wittenberg-mountains,https://www.alltrails.com/trail/us/new-york/table-mountain-and-peekamoose-mountain,Medium,,https://www.alltrails.com/trail/us/new-york/lone-table-and-peekamoose-mountains seems to come off Denning road maybe https://www.alltrails.com/trail/us/new-york/red-hill-firetower-from-denning-road,Two verified routes accessible from the broader Denning area; select by DEC counter coordinates.,slide-cornell-and-wittenberg-mountains,slidecornellandwittenbergmountains,,0.5846153846153846,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Devils Tombstone (Hunter Mtn),https://www.alltrails.com/trail/us/new-york/hunter-mountain-via-devils-path,,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,hunter-mountain-via-devils-path,huntermountainviadevilspath,Hunter_Mountain_Loop_via_Devils_Path.js,0.9310344827586207,fuzzy_url_slug,Hunter Mountain Loop via Devil's Path,2022.0,42.17075,-74.21591,42.15772,42.18353,-74.23095,-74.19682,906.864490603363,,,,42.17075,-74.21591,AllTrails downloaded geometry
Devils Tombstone (Plateau Mtn),https://www.alltrails.com/trail/us/new-york/indian-head-mountain-twin-mountain-plateau-mountain-via-devil-s-path,,Medium,,,Verified route includes Plateau Mountain; confirm it corresponds to the Devil's Tombstone counter.,indian-head-mountain-twin-mountain-plateau-mountain-via-devil-s-path,indianheadmountaintwinmountainplateaumountainviadevilspath,Indian_Head_Mountain_Twin_Mountain_Plateau_Mountain_via_Devils_Path.js,1.0,exact_url_slug,"Indian Head Mountain, Twin Mountain, Plateau Mountain via Devil's Path",2929.0,42.12839,-74.12604,42.11367,42.13957,-74.17422,-74.08605,922.5541140320929,,,,42.12839,-74.12604,AllTrails downloaded geometry
Diamond Notch (Lanesville),,,Low,,,"The trail title is indexed, but a direct trail-page URL could not be independently confirmed; left blank to avoid a possible 404.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Diamond Notch (Spruceton),https://www.alltrails.com/trail/us/new-york/southwest-hunter-mountain-via-spruceton-road,https://www.alltrails.com/trail/us/new-york/hunter-mountain-and-southwest-hunter-mountain-loop-via-spruceton-road,Medium,,I think both of these trails have the same start location,,southwest-hunter-mountain-via-spruceton-road,southwesthuntermountainviasprucetonroad,Hunter_Mountain_via_Spruceton_Horse_Trail.js,0.7466666666666667,fuzzy_url_slug,Hunter Mountain via Spruceton Horse Trail,1929.0,42.17773,-74.24182,42.16537,42.19287,-74.27234,-74.22184,951.1503369621565,,,,42.17773,-74.24182,AllTrails downloaded geometry
Dry Brook Ridge to Lean-to,https://www.alltrails.com/trail/us/new-york/balsam-lake-mountain-via-dry-brook-ridge-trail--2,,Medium,Y,conflicts with Balsam Lake Mountain,,balsam-lake-mountain-via-dry-brook-ridge-trail--2,balsamlakemountainviadrybrookridgetrail2,Balsam_Lake_Mountain_via_Dry_Brook_Ridge_Trail.js,0.9873417721518988,fuzzy_url_slug,Balsam Lake Mountain via Dry Brook Ridge Trail,902.0,42.039145000000005,-74.59355,42.02394,42.04693,-74.59968,-74.58287,964.7250554323725,,,,42.039145000000005,-74.59355,AllTrails downloaded geometry
Eagle,https://www.alltrails.com/trail/us/new-york/belleayre-balsam-haynes-and-eagle-mountains,https://www.alltrails.com/trail/us/new-york/balsam-haynes-eagle-big-indian-and-fir-peaks-loop,Medium,,These two links start at different places,Verified routes include Eagle Mountain; choose the approach matching the counter.,belleayre-balsam-haynes-and-eagle-mountains,belleayrebalsamhaynesandeaglemountains,,0.5217391304347826,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
East Windham,https://www.alltrails.com/trail/us/new-york/windham-trail,,Medium,Y,,Verified Windham-area routes; confirm the East Windham access point.,windham-trail,windhamtrail,,0.5333333333333333,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Elm Ridge,https://www.alltrails.com/trail/us/new-york/elm-ridge-trail-loop,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,elm-ridge-trail-loop,elmridgetrailloop,Elm_Ridge_Trail_Loop.js,1.0,exact_url_slug,Elm Ridge Trail Loop,1514.0,42.30485,-74.18420499999999,42.2929,42.31293,-74.19633,-74.17418,660.672391017173,,,,42.30485,-74.18420499999999,AllTrails downloaded geometry
Fir,https://www.alltrails.com/trail/us/new-york/balsam-haynes-eagle-big-indian-and-fir-peaks-loop,,Medium,,,Verified multi-peak route includes Fir Mountain.,balsam-haynes-eagle-big-indian-and-fir-peaks-loop,balsamhayneseaglebigindianandfirpeaksloop,,0.45714285714285713,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Flynn,https://www.alltrails.com/trail/us/new-york/balsam-lake-mountain-via-dry-brook-ridge-trail--2,,Medium,,,Verified Balsam Lake Mountain route; confirm whether it uses the Flynn Trail counter.,balsam-lake-mountain-via-dry-brook-ridge-trail--2,balsamlakemountainviadrybrookridgetrail2,Balsam_Lake_Mountain_via_Dry_Brook_Ridge_Trail.js,0.9873417721518988,fuzzy_url_slug,Balsam Lake Mountain via Dry Brook Ridge Trail,902.0,42.039145000000005,-74.59355,42.02394,42.04693,-74.59968,-74.58287,964.7250554323725,,,,42.039145000000005,-74.59355,AllTrails downloaded geometry
Fox Hollow,https://www.alltrails.com/trail/us/new-york/giant-ledge-and-panther-mountain-trail,,Medium,,,Verified Panther Mountain-area route; confirm it uses the Fox Hollow approach.,giant-ledge-and-panther-mountain-trail,giantledgeandpanthermountaintrail,Giant_Ledge_and_Panther_Mountain_Trail.js,1.0,exact_url_slug,Giant Ledge and Panther Mountain Trail,1691.0,42.04087,-74.39476,42.02618,42.05857,-74.40373,-74.39089,931.0898876404494,,,,42.04087,-74.39476,AllTrails downloaded geometry
Frick Pond,https://www.alltrails.com/trail/us/new-york/mongaup-mountain-loop,,Medium,,,Verified Willowemoc-area route whose indexed nearby trails include Frick Pond; confirm map overlap.,mongaup-mountain-loop,mongaupmountainloop,,0.5714285714285714,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Friday,https://www.alltrails.com/trail/us/new-york/friday-mountain-and-balsam-cap-from-moonhaw-rd,https://www.alltrails.com/trail/us/new-york/table-peekamoose-lone-and-rocky-balsam-cap-and-friday-loop,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,friday-mountain-and-balsam-cap-from-moonhaw-rd,fridaymountainandbalsamcapfrommoonhawrd,Friday_Mountain_and_Balsam_Cap_from_Moon_Haw_Road.js,0.975,fuzzy_url_slug,Friday Mountain and Balsam Cap from Moon Haw Road,1433.0,41.9866,-74.35115,41.97716,41.98867,-74.36095,-74.3276,798.9532449406839,,,,41.9866,-74.35115,AllTrails downloaded geometry
German Hollow,https://www.alltrails.com/trail/us/new-york/balsam-lake-mountain-via-dry-brook-ridge-trail--2,,Medium,,,Verified Dry Brook Ridge-area route; confirm the German Hollow access point.,balsam-lake-mountain-via-dry-brook-ridge-trail--2,balsamlakemountainviadrybrookridgetrail2,Balsam_Lake_Mountain_via_Dry_Brook_Ridge_Trail.js,0.9873417721518988,fuzzy_url_slug,Balsam Lake Mountain via Dry Brook Ridge Trail,902.0,42.039145000000005,-74.59355,42.02394,42.04693,-74.59968,-74.58287,964.7250554323725,,,,42.039145000000005,-74.59355,AllTrails downloaded geometry
Giant Ledge,https://www.alltrails.com/trail/us/new-york/giant-ledge-and-panther-mountain-trail,,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,giant-ledge-and-panther-mountain-trail,giantledgeandpanthermountaintrail,Giant_Ledge_and_Panther_Mountain_Trail.js,1.0,exact_url_slug,Giant Ledge and Panther Mountain Trail,1691.0,42.04087,-74.39476,42.02618,42.05857,-74.40373,-74.39089,931.0898876404494,,,,42.04087,-74.39476,AllTrails downloaded geometry
Halcott,,,Low,,,No indexed direct AllTrails trail page could be confirmed; URL intentionally left blank.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Hardenburgh- MH Trail,https://www.alltrails.com/trail/us/new-york/mongaup-hardenburgh-trail,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,mongaup-hardenburgh-trail,mongauphardenburghtrail,MongaupHardenburgh_Trail.js,1.0,exact_url_slug,Mongaup-Hardenburgh Trail,443.0,41.9855,-74.66191,41.95844,42.01237,-74.68845,-74.62229,823.1467268623024,,,,41.9855,-74.66191,AllTrails downloaded geometry
Harding Road Trail,https://www.alltrails.com/trail/us/new-york/palenville-overlook-and-sleepy-hollow-loop,,High,,,Verified AllTrails page titled Palenville Overlook via Harding Road.,palenville-overlook-and-sleepy-hollow-loop,palenvilleoverlookandsleepyhollowloop,,0.44,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Hill Road (Huckleberry Loop N),,,Low,,,"Huckleberry Loop is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Holiday & Berry Brook Road,https://www.alltrails.com/trail/us/new-york/campbell-mountain-via-mary-smith-trail,https://www.alltrails.com/trail/us/new-york/little-pond-and-touchmenot-mountain-loop,Medium,,,Verified routes in the Mary Smith/Holiday Brook area; confirm the road-end counter.,campbell-mountain-via-mary-smith-trail,campbellmountainviamarysmithtrail,,0.6111111111111112,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Huckleberry Loop Trail,,,Low,,,"Huckleberry Loop is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Huggins Lake Trail,,,Low,,,"Huggins Lake Trail is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Kaaterskill Falls,https://www.alltrails.com/trail/us/new-york/katterskill-falls-from-laurel-house-road,https://www.alltrails.com/trail/us/new-york/inspiration-point-and-kaaterskill-falls-loop,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,katterskill-falls-from-laurel-house-road,katterskillfallsfromlaurelhouseroad,,0.39473684210526316,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Kaaterskill High Peak,https://www.alltrails.com/trail/us/new-york/katterskill-falls-from-laurel-house-road,https://www.alltrails.com/trail/us/new-york/inspiration-point-and-kaaterskill-falls-loop,Low,,Both these trails go to the high peak but inspiration point iis a longer loop,"Kaaterskill High Peak Trail is indexed by title, but its direct trail-page URL could not be independently confirmed.",katterskill-falls-from-laurel-house-road,katterskillfallsfromlaurelhouseroad,,0.39473684210526316,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Kanape Brook,https://www.alltrails.com/trail/us/new-york/ashokan-high-point-trail,,Medium,,,Verified Ashokan High Point route follows the Kanape Brook approach.,ashokan-high-point-trail,ashokanhighpointtrail,Ashokan_High_Point_Trail.js,1.0,exact_url_slug,Ashokan High Point Trail,304.0,41.924054999999996,-74.299515,41.91289,41.93597,-74.328,-74.28734,618.421052631579,,,,41.924054999999996,-74.299515,AllTrails downloaded geometry
Kelly Hollow,,,Low,,,"Kelly Hollow routes are indexed by title, but direct trail-page URLs could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Lane Street,,,Low,,,DEC label names a street/trailhead and no indexed direct AllTrails trail page could be confirmed.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Layman's Monument,https://www.alltrails.com/trail/us/new-york/inspiration-point-to-katerskill-falls-loop,https://www.alltrails.com/trail/us/new-york/inspiration-point-and-kaaterskill-falls-via-kaaterskill-rail-trail,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,inspiration-point-to-katerskill-falls-loop,inspirationpointtokaterskillfallsloop,,0.37735849056603776,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Little Pond Campground,https://www.alltrails.com/trail/us/new-york/little-pond-and-touchmenot-mountain-loop,https://www.alltrails.com/trail/us/new-york/big-pond-to-little-pond-via-touch-me-not-trail,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,little-pond-and-touchmenot-mountain-loop,littlepondandtouchmenotmountainloop,,0.5882352941176471,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Little Pond Loop,https://www.alltrails.com/trail/us/new-york/little-pond-and-touchmenot-mountain-loop,,Medium,,,Verified direct page in the Little Pond campground; standalone loop URL was not independently confirmed.,little-pond-and-touchmenot-mountain-loop,littlepondandtouchmenotmountainloop,,0.5882352941176471,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Lone,https://www.alltrails.com/trail/us/new-york/lone-table-and-peekamoose-mountains,https://www.alltrails.com/trail/us/new-york/table-peekamoose-lone-and-rocky-balsam-cap-and-friday-loop,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,lone-table-and-peekamoose-mountains,lonetableandpeekamoosemountains,Lone_Table_and_Peekamoose_Mountains.js,1.0,exact_url_slug,"Lone, Table, and Peekamoose Mountains",2112.0,41.969229999999996,-74.41926000000001,41.95289,41.9753,-74.4524,-74.39003,885.611268939394,,,,41.969229999999996,-74.41926000000001,AllTrails downloaded geometry
Long Path North,,,Low,,,Broad DEC segment label; no single indexed direct AllTrails trail page could be confirmed.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Long Pond,,,Low,,,"Long Pond via Beaverkill Ridge is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Lost Clove,https://www.alltrails.com/trail/us/new-york/belleayre-mountain-via-lost-clove-and-belleayre-ridge,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,belleayre-mountain-via-lost-clove-and-belleayre-ridge,belleayremountainvialostcloveandbelleayreridge,Belleayre_Mountain_via_Lost_Clove_and_Belleayre_Ridge.js,1.0,exact_url_slug,Belleayre Mountain via Lost Clove and Belleayre Ridge,1329.0,42.11455,-74.48881,42.1055,42.12341,-74.51212,-74.46962,854.5364936042137,,,,42.11455,-74.48881,AllTrails downloaded geometry
Mary Smith Hill Road,https://www.alltrails.com/trail/us/new-york/split-rock-lookout-via-mary-smith-hill-trail-pelnor-hollow-trail,https://www.alltrails.com/trail/us/new-york/campbell-mountain-via-mary-smith-trail,Medium,,Both of these start from the same location,Verified routes using the Mary Smith Hill trail system.,split-rock-lookout-via-mary-smith-hill-trail-pelnor-hollow-trail,splitrocklookoutviamarysmithhilltrailpelnorhollowtrail,Split_Rock_Lookout_via_Mary_Smith_Hill_Trail_Pelnor_Hollow_Trail.js,1.0,exact_url_slug,Split Rock Lookout via Mary Smith Hill Trail (Pelnor Hollow Trail),535.0,42.03542,-74.8575,42.03254,42.03879,-74.86566,-74.84741,748.4990654205608,,,,42.03542,-74.8575,AllTrails downloaded geometry
Mary's Glen,https://www.alltrails.com/trail/us/new-york/inspiration-point-and-kaaterskill-falls-loop,,Medium,,,Verified Kaaterskill/North–South Lake route; confirm it crosses the Mary's Glen counter.,inspiration-point-and-kaaterskill-falls-loop,inspirationpointandkaaterskillfallsloop,,0.38961038961038963,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
McKenley Hollow,https://www.alltrails.com/trail/us/new-york/balsam-mt-from-rider-hollow-rd,,Medium,,,Verified Balsam Mountain route; confirm whether the DEC counter is on the McKenley Hollow approach.,balsam-mt-from-rider-hollow-rd,balsammtfromriderhollowrd,Balsam_Mountain_from_Rider_Hollow_Rd.js,0.8928571428571429,fuzzy_url_slug,Balsam Mountain from Rider Hollow Rd,1245.0,42.09714,-74.50087,42.08479,42.10449,-74.51684,-74.48806,841.5847389558232,,,,42.09714,-74.50087,AllTrails downloaded geometry
Millbrook to BLM FT,https://www.alltrails.com/trail/us/new-york/balsam-lake-mountain-via-dry-brook-ridge-trail--2,,Medium,,,Verified Balsam Lake Mountain page; confirm the Mill Brook approach.,balsam-lake-mountain-via-dry-brook-ridge-trail--2,balsamlakemountainviadrybrookridgetrail2,Balsam_Lake_Mountain_via_Dry_Brook_Ridge_Trail.js,0.9873417721518988,fuzzy_url_slug,Balsam Lake Mountain via Dry Brook Ridge Trail,902.0,42.039145000000005,-74.59355,42.02394,42.04693,-74.59968,-74.58287,964.7250554323725,,,,42.039145000000005,-74.59355,AllTrails downloaded geometry
